#---------------------------------------------------------------------------------------------------------------
#     NAME                    P0                                     P1                               P1_I
#                             (s)
#---------------------------------------------------------------------------------------------------------------
201   J0941-5244   mld+96     0.65855761432            1  dsb+98     1.1379E-15         2  dsb+98     *
202   B0940-55     wvl69      0.66436748807            6  smd93      2.2854E-14         5  smd93      *
203   B0941-56     mlt+78     0.808127417142          11  smd93      3.96284E-14       11  smd93      *
204   B0940+16     mlt+78     1.087417728071          10  hlk+04     9.109E-17          8  hlk+04     8.82e-17
205   B0942-13     mlt+78     0.5702641245619          4  hlk+04     4.5256E-17         3  hlk+04     4.48e-17

206   J0945-4833   kbm+03     0.3315855987755         18  kbm+03     4.8291E-15         6  kbm+03     *
207   B0943+10     vazs69     1.09770570486            7  hlk+04     3.49339E-15       20  hlk+04     3.49e-15
208   J0949-6902   bbb+12     0.64001572416            1  bbb+12     0.6370E-15         5  bbb+12     *
209   B0950-38     mlt+78     1.3738151214             5  nmc81      5.8E-16            3  nmc81      *
210   B0950+08     phbc68     0.2530651649482          9  hlk+04     2.29758E-16        3  hlk+04     2.30e-16

211   J0954-5430   mlc+01     0.472834279266          16  mlc+01     4.3912E-14        12  mlc+01     *
212   B0953-52     mlt+78     0.86211773933            5  nmc81      3.517E-15          3  nmc81      *
213   J0957-5432   mlc+01     0.203556697536           6  mlc+01     1.947E-15          4  mlc+01     *
214   B0957-47     mlt+78     0.67008576040           18  nmc81      8.2E-17            9  nmc81      *
215   J1000-5149   kbm+03     0.2556770984252         20  kbm+03     9.595E-16          6  kbm+03     *

216   B0959-54     wvl69      1.43658262920           12  smd93      5.1396E-14        12  smd93      *
217   J1001-5559   mlc+01     1.66117674023            4  mlc+01     8.60E-16           4  mlc+01     *
218   J1001-5939   lfl+06     7.7336402649             8  lfl+06     5.99E-14           3  lfl+06     *
219   J1002-5559   mlc+01     0.7775009067             3  mlc+01     1.57E-15          19  mlc+01     *
220   J1002-5919   ncb+15     0.7134892535             6  ncb+15     104E-18           10  ncb+15     *

221   B1001-47     mlt+78     0.30707169975            3  nmc81      2.20737E-14       12  nmc81      *
222   J1006-6311   lml+98     0.8357974680             2  dsb+98     5.73E-16           3  dsb+98     *
223   B1010-23     mlt+78     2.51794502050            4  hlk+04     8.809E-16          4  hlk+04     *
224   J1012-5830   kbm+03     2.1335912144             3  kbm+03     3.765E-14          6  kbm+03     *
225   B1011-58     jlm+92     0.8199114962             3  jml+95     1.7690E-14        10  jml+95     *

226   J1013-5934   kbm+03     0.442900630729           4  kbm+03     5.58E-16           2  kbm+03     *
227   J1015-5719   kbm+03     0.139881677595           4  kbm+03     5.73680E-14       12  kbm+03     *
228   B1014-53     mlt+78     0.7695835272             2  nmc81      1.926E-15         10  nmc81      *
229   J1016-5819   mlc+01     0.0878341561432          9  mlc+01     6.980E-16          4  mlc+01     *
230   J1016-5857   cbm+01     0.1073864584588         15  hfs+04     8.08342E-14        6  hfs+04     *

231   B1015-56     mlt+78     0.50345881546            8  nmc81      3.130E-15          4  nmc81      *
232   B1016-16     dtws85     1.804694945768          10  hlk+04     1.74219E-15       10  hlk+04     *
233   J1019-5749   kbm+03     0.162498709997           8  kbm+03     2.0077E-14         3  kbm+03     *
234   J1020-5921   kbm+03     1.23830534423           11  kbm+03     4.047E-14          8  kbm+03     *
235   J1020-6026   lfl+06     0.140479910179           8  lfl+06     6.7386E-15        20  lfl+06     *

236   J1021-5601   hfs+04     0.67002629761           14  hfs+04     5.3E-17            6  hfs+04     *
237   J1022-5813   kbm+03     1.6437260020             5  kbm+03     1.454E-13          3  kbm+03     *
238   J1024-0719   bjb+97     0.0051622046395150      11  rhc+15     1.8527E-20         5  rhc+15     -3.09e-20
239   J1028-5819   kjk+08     0.0914032309            14  kjk+08     16.1E-15           8  kjk+08     *
240   J1031-6117   kbm+03     0.306410837119          10  kbm+03     1.784E-15          5  kbm+03     *

241   J1032-5206   hfs+04     2.40762231135           12  hfs+04     1.7891E-14        11  hfs+04     *
242   B1030-58     mlt+78     0.464208010              8  nmc81      3E-15              3  nmc81      *
243   J1034-3224   mld+96     1.150590428417          10  hlk+04     2.3046E-16         8  hlk+04     *
244   J1035-6345   kbm+03     0.579576736318           6  kbm+03     3.504E-16         12  kbm+03     *
245   J1036-4926   mld+96     0.510368133101           8  dsb+98     1.64838E-15       10  dsb+98     *

246   J1036-6559   bbb+12     0.53350188629            6  bbb+12     1.362E-15          1  bbb+12     *
247   J1038+0032   bjd+06     0.02885155795131         8  bjd+06     0.000067E-15       7  bjd+06     *
248   B1036-58     jlm+92     0.661992094032          11  jml+95     1.2512E-15         3  jml+95     *
249   B1039-19     mlt+78     1.386368074588           3  hlk+04     9.44850E-16       20  hlk+04     9.43e-16
250   B1039-55     mlt+78     1.1708590770             4  nmc81      6.733E-15         16  nmc81      *

251   J1043-6116   kbm+03     0.288601695277           5  kbm+03     1.0404E-14         3  kbm+03     *
252   J1046+0304   bjd+06     0.326271446035           4  bjd+06     0.1242E-15         4  bjd+11     *
253   B1044-57     mlt+78     0.36942669620            6  nmc81      1.144E-15          3  nmc81      *
254   J1047-3032   lml+98     0.3303280523313         19  hlk+04     6.1006E-17        20  hlk+04     *
255   J1047-6709   lml+98     0.1984514505627          8  dsb+98     1.68714E-15        2  dsb+98     *

256   B1046-58     jlm+92     0.123670657887           3  wmp+00     9.63190E-14       11  wmp+00     *
257   J1049-5833   mlc+01     2.2023250770             3  mlc+01     4.41E-15          15  mlc+01     *
258   J1052-5954   kbm+03     0.180591500693          10  kbm+03     1.99831E-14       17  kbm+03     *
259   J1052-6348   hfs+04     0.383830423532          15  hfs+04     3.87E-16           6  hfs+04     *
260   J1054-5943   kbm+03     0.346908957903          13  kbm+03     4.074E-15          8  kbm+03     *

261   J1054-5946   bbb+12     0.228324249982           8  bbb+12     0.2090E-15         3  bbb+12     *
262   J1054-6452   hfs+04     1.8400035414             3  hfs+04     3.14E-15           5  hfs+04     *
263   J1055-6022   hfs+04     0.9475584093             3  hfs+04     9.239E-14         12  hfs+04     *
264   J1055-6028   kel+09     0.099660833480           3  kel+09     29.5322E-15        5  kel+09     *
265   J1055-6236   kbm+03     0.44863544246            3  kbm+03     7.08E-16           7  kbm+03     *

266   J1055-6905   ebvb01     2.9193969868             3  ebvb01     2.0336E-14        15  ebvb01     *
267   J1056-5709   mlc+01     0.67608189374            8  mlc+01     5.76E-16          14  mlc+01     *
268   B1054-62     mlt+78     0.422447188684          16  smd93      3.5757E-15        11  smd93      *
269   J1057-4754   ebvb01     0.628305878552           7  jbo+09     0.2248E-15         2  jbo+09     *
270   B1055-52     vl72       0.197107608187          15  nmc81      5.8335E-15         7  nmc81      5.83e-15

271   B1056-78     mlt+78     1.3474021612             4  nmc81      1.327E-15         16  nmc81      *
272   J1058-5957   kbm+03     0.616270272343          16  kbm+03     6.57E-16           4  kbm+03     *
273   B1056-57     mlt+78     1.18499893354            3  dmk+93     4.300E-15          1  dmk+93     *
274   J1103-5403   kjr+11     0.00339270965933         4  kjr+11     3.7E-21           10  kjr+11     *
275   J1103-6025   kbm+03     0.396586748928           5  kbm+03     9.904E-16         19  kbm+03     *

276   J1104-6103   kmj+96     0.2809053015394         18  kmj+96     1.96673E-15       20  kmj+96     *
277   J1105-6107   kbm+97     0.063192941526           8  wmp+00     1.58266E-14        4  wmp+00     *
278   J1106-6438   hfs+04     2.7179341360             3  hfs+04     2.33E-15           7  hfs+04     *
279   J1107-5907   lfl+06     0.252773323418           6  lfl+06     9.0E-18           10  lfl+06     *
280   B1105-59     mlt+78     1.5165309654            12  nmc81      3.4E-16            5  nmc81      *

281   J1107-6143   kbm+03     1.7993956675             4  kbm+03     1.558E-13          2  kbm+03     *
282   B1107-56     jlm+92     0.558252726401           7  jml+95     2.0640E-15         5  jml+95     *
283   J1112-6103   mlc+01     0.064961851894           3  mlc+01     3.14596E-14       13  mlc+01     *
284   B1110-65     mlt+78     0.33421283978            6  nmc81      8.24E-16           3  nmc81      *
285   B1110-69     mlt+78     0.82048420411           16  nmc81      2.841E-15          8  nmc81      *

286   B1112-60     jlm+92     0.88081962549            2  jml+95     4.60876E-14        6  jml+95     *
287   B1112+50     fss73      1.656439759937           3  hlk+04     2.492785E-15      20  hlk+04     2.49e-15
